"title","score","episode_count","episode_length","member_count","start_date","synopsis","genre","studio","source","url","image"
Sore Ike! Anpanman,6.55,? eps,"24 min",3270,1988-10-03,"One night, a Star of Life falls down the chimney of a bakery nestled deep in the forest, causing the dough in the oven to come to life. The dough becomes Anpanman, a superhero made of anpan (a sweet roll with bean jam filling). Together with his friends, Anpanman fights his rival Baikinman and helps the malnourished. 

(Source: ANN)","{Comedy,Fantasy,Kids}",TMS Entertainment,Picture book,https://myanimelist.net/anime/1960/Sore_Ike_Anpanman,https://cdn.myanimelist.net/images/anime/1902/111797.jpg
Bonobono (TV 2016),6.37,? eps,"5 min",2814,2016-04-02,"Based on the original comic BONO BONO by Mikio Igarashi that has seen over 9,000,000 total copies printed, this is the definitive animated version of the emotionally soothing character-driven series that will make you ask yourself the philosophical question, ""What are living things?"" while laughing at heartwarming gags and being entertained by the interactions of amusing forest friends Bonobono the young sea otter, Chipmunk, Fishing Cat, and more.

Enjoy the easygoing days and minor misadventures of Bonobono and his friends!

(Source: Fuji Creative)","{Comedy,""Slice of Life"",Anthropomorphic}",Eiken,"4-koma manga",https://myanimelist.net/anime/32353/Bonobono_TV_2016,https://cdn.myanimelist.net/images/anime/13/77617.jpg
Shimajirou no Wow!,0.0,? eps,"8 min",481,2012-04-02,Fourth season of the Shimajirou children's television series.,"{Adventure,Comedy,Fantasy,Kids}",The Answer Studio,Other,https://myanimelist.net/anime/18941/Shimajirou_no_Wow,https://cdn.myanimelist.net/images/anime/9/50737.jpg
Ninjala (TV),5.62,? eps,"23 min",2000,2022-01-08,"The year is 20XX. The ninja, who once forged the history of Japan, were scattered across the country during the Meiji Restoration. As these ninja mingled with the other clans, their bloodline thinned, and they gradually faded from sight. The descendants of these ninja clans, seeking to preserve their heritage, formed the WNA (World Ninja Association) in the hope of carrying on their legacy.

And so it was that the WNA succeeded in developing Ninja-Gum, an art which could summon forth the strength of the Shinobi. And yet creating the most powerful Ninja-Gum requires the strongest of ninja DNA. So it was that the Ninjala Tournament was held, that the mightiest of all ninjas could be found... 

(Source: Official Game website)",{Action},OLM,Game,https://myanimelist.net/anime/50418/Ninjala_TV,https://cdn.myanimelist.net/images/anime/1552/119871.jpg
Youkai Watch ♪,6.17,? eps,"24 min",1860,2021-04-09,"The new show will feature unique and returning Yo-kai. The comedy will also center on the original series' main characters: fifth-grader Keita (Nate in the English version), ghost butler Whisper, and popular Yo-kai like Jibanyan and Komasan. The original cast members for these four characters are returning for this new series.

(Source: ANN)","{Comedy,Supernatural,Mythology,Kids}",OLM,Game,https://myanimelist.net/anime/48365/Youkai_Watch_♪,https://cdn.myanimelist.net/images/anime/1682/118273.jpg
Ojarumaru,6.38,? eps,"10 min",1764,1998-10-05,"In the Heian era, around 1000 years ago, a young boy of noble family named Ojarumaru is bored with his life of privilege. Meanwhile, three demons steal the power-stick of Enma, king of demons, and then lose it. Ojarumaru finds it, and uses it to transport himself to the present time. Here, he is befriended by a young boy named Kazuma, and becomes a member of his family. As time goes on, Ojarumaru makes many new friends, while dodging the comedic efforts of the three demons, Akane, Kisuke, and Aobee, as they try to recover the stick. (from ANN)","{Adventure,""Award Winning"",Comedy,Fantasy,Kids}",Gallop,Original,https://myanimelist.net/anime/4459/Ojarumaru,https://cdn.myanimelist.net/images/anime/2/8519.jpg
Shikaru Neko,0.0,? eps,"0 min",1643,2021-03-22,(No synopsis yet.),"{""Slice of Life""}",Unknown,Manga,https://myanimelist.net/anime/48442/Shikaru_Neko,https://cdn.myanimelist.net/images/anime/1008/113384.jpg
Chiikawa,5.54,? eps,"1 min",1624,2022-04-04,"What's a Chiikawa? No one really knows, but everyone can see they're small, they're cute, and they're always having a fun time! Join them as they explore their surreal world with the sharp humor and clever antics that make the Chiikawa irresistible.

(Source: HIDIVE, edited)","{Comedy,Seinen}",Doga Kobo,Web manga,https://myanimelist.net/anime/50250/Chiikawa,https://cdn.myanimelist.net/images/anime/1783/121944.jpg
Fushigi Dagashiya: Zenitendou,5.99,? eps,"10 min",1393,2020-09-08,"Zenitendo is a mysterious candy store that only lucky people can reach. All the candy recommended by Beniko, the owner of the store, is perfectly suited to the buyer's troubles. However, it depends on whether the candy will be used or eaten correctly that it can bring happiness or misfortune.

(Source: MAL News)","{Mystery,Kids}",Toei Animation,Novel,https://myanimelist.net/anime/42295/Fushigi_Dagashiya__Zenitendou,https://cdn.myanimelist.net/images/anime/1994/108212.jpg
Puzzle & Dragon,0.0,? eps,"24 min",1321,2018-04-02,"The story is set in modern day Japan following the growth of the protagonist Taiga Akashi, an elementary school kid who wants to be a professional gamer someday. 

(Source: Crunchyroll)","{""Strategy Game"",Kids}",Pierrot,Game,https://myanimelist.net/anime/37096/Puzzle___Dragon,https://cdn.myanimelist.net/images/anime/1535/95070.jpg
Kamiusagi Rope: Warau Asa ni wa Fukuraitaru tte Maji ssuka!?,0.0,? eps,"2 min",990,2012-11-16,"Fourth season of Kamiusagi Rope, events occur after the feature film. Airs on Mezamashi TV instead of the theaters.","{Comedy,""Slice of Life""}",Unknown,Original,https://myanimelist.net/anime/30151/Kamiusagi_Rope__Warau_Asa_ni_wa_Fukuraitaru_tte_Maji_ssuka,https://cdn.myanimelist.net/images/anime/6/72182.jpg
Knyacki!,6.12,? eps,"5 min",911,1995-04-07,"Two caterpillars investigate objects on a kitchen counter while searching for food. One of them finds a piece of pasta and is intrigued by the fact that there's a hole in the middle.

They are having fun until a big mean caterpillar arrives. It's time for a major show down...","{Comedy,Drama,Fantasy,Kids}",Unknown,"",https://myanimelist.net/anime/7505/Knyacki,https://cdn.myanimelist.net/images/anime/2/55107.jpg
Xin Weiqi Shaonian,0.0,"52 eps","22 min",863,2022-06-01,(No synopsis yet.),{Historical},CCTV Animation,Original,https://myanimelist.net/anime/51862/Xin_Weiqi_Shaonian,https://cdn.myanimelist.net/images/anime/1957/123915.jpg
Hanakappa,5.97,? eps,"10 min",749,2010-03-29,Story about Kappa with flowers on their heads.,"{Comedy,Kids}",OLM,Picture book,https://myanimelist.net/anime/8336/Hanakappa,https://cdn.myanimelist.net/images/anime/1105/90503.jpg
Shiawase Haitatsu Taneko,0.0,? eps,"0 min",731,2011-03-26,"The story centers around a cat who answers people's wishes and delivers happiness. (""Tane"" and ""neko"" are the Japanese words for ""seed"" and ""cat,"" respectively.)

(Source: ANN)",{Comedy},Kachidoki Studio,Original,https://myanimelist.net/anime/10506/Shiawase_Haitatsu_Taneko,https://cdn.myanimelist.net/images/anime/2/28900.jpg
Uchuu Nanchara Kotetsu-kun,0.0,? eps,"10 min",698,2021-04-07,"It follows the daily life of Kotetsu-kun, who aspires to be an astronaut, and friends at the Animal Space Academy as they all pursue their dreams.

(Source: ANN)","{Comedy,Space}",Fanworks,Web manga,https://myanimelist.net/anime/42870/Uchuu_Nanchara_Kotetsu-kun,https://cdn.myanimelist.net/images/anime/1226/112286.jpg
Teikou Penguin,0.0,? eps,"5 min",646,2022-01-05,"Centers on a penguin who works in an abusive company and gripes about the difficulties of workplace life. The title is a play on the ""koutei penguin,"" the Japanese name for the emperor penguin.

(Source: ANN)",{Workplace},Unknown,Manga,https://myanimelist.net/anime/50522/Teikou_Penguin,https://cdn.myanimelist.net/images/anime/1018/119890.jpg
Cap Kakumei Bottleman DX,0.0,? eps,"12 min",581,2022-04-03,Second season of Cap Kakumei Bottleman.,"{Action,""Strategy Game"",Kids}",Gaina,Game,https://myanimelist.net/anime/51155/Cap_Kakumei_Bottleman_DX,https://cdn.myanimelist.net/images/anime/1699/121192.jpg
Kirin the Noop,0.0,? eps,"5 min",560,2014-02-06,A shadow painting anime about a timid giraffe named Noop and his hedgehog companion named Harry as they travel their distant star world helping each other.,{Adventure},Unknown,Original,https://myanimelist.net/anime/35694/Kirin_the_Noop,https://cdn.myanimelist.net/images/anime/13/86110.jpg
Manul no Yuube,0.0,? eps,"1 min",450,2018-11-11,"Within the nature ""Darwin Kita! Kikimono Shin Densetsu"" program on NHK1.5 airs the short Manul no Yuube, based on a web manga/comic of the same name. It following animal characters who visit the bar Manul no Yuube. The bar is run by the Mama who is a Pallas's cat (Otocolobus manul) and serviced by the hostess Tsunomin who is a Brazilian treehopper (Bocydium globulare).","{""Slice of Life""}",Unknown,Web manga,https://myanimelist.net/anime/38776/Manul_no_Yuube,https://cdn.myanimelist.net/images/anime/1980/96936.jpg
Mori no Ratio,0.0,? eps,"5 min",450,2010-03-26,Stop-motion anime about a girl named Ratio who lives in a forest with her icy monsters and creatures. Every day she goes out explores new things.,"{Adventure,Fantasy,Kids}",Unknown,"",https://myanimelist.net/anime/29427/Mori_no_Ratio,https://cdn.myanimelist.net/images/anime/8/70899.jpg
Gohan Kaijuu Pap,0.0,? eps,"0 min",410,2011-04-25,"A series of short, 30-second segments featuring Gohan Kaijuu Pap and various ""side dish"" monsters to produce delicious meals.","{Action,Comedy,Kids}",DLE,Original,https://myanimelist.net/anime/22669/Gohan_Kaijuu_Pap,https://cdn.myanimelist.net/images/anime/13/59289.jpg
Yowamushi Monsters,0.0,? eps,"1 min",386,2012-12-25,An NHK toddler's anime following cowardly creatures representing typical Halloween monsters like Dracula and a witch.,{Kids},Unknown,Original,https://myanimelist.net/anime/30119/Yowamushi_Monsters,https://cdn.myanimelist.net/images/anime/11/72127.jpg
Robot Pulta,0.0,? eps,"5 min",355,1995-04-04,Stop-motion animation about robots; though mainly focusing on Pulta a white square robot.,"{Adventure,Comedy,Mecha,Kids}",Unknown,"",https://myanimelist.net/anime/29375/Robot_Pulta,https://cdn.myanimelist.net/images/anime/9/70637.jpg
Xi Yangyang Yu Hui Tailang: Juezhan Ci Shidai,0.0,"60 eps","15 min",353,2021-07-09,(No synopsis yet.),"{Action,Comedy,Kids}",Unknown,"",https://myanimelist.net/anime/49079/Xi_Yangyang_Yu_Hui_Tailang__Juezhan_Ci_Shidai,https://cdn.myanimelist.net/images/anime/1492/115307.jpg
Konigiri-kun,0.0,? eps,"5 min",317,2015-02-20,A stop-motion anime using bentou ingredients as the characters.,{Kids},Unknown,Original,https://myanimelist.net/anime/35696/Konigiri-kun,https://cdn.myanimelist.net/images/anime/8/86112.jpg
Liv & Bell,0.0,? eps,"5 min",313,2013-02-15,"A stop-motion animation about Liv, a curious little girl and Bell, a gluttonous hedgehog. Together they go on an adventure in a picture book. ","{Adventure,Kids}",Unknown,"",https://myanimelist.net/anime/29421/Liv___Bell,https://cdn.myanimelist.net/images/anime/6/70717.jpg
Otoppe,0.0,? eps,"3 min",306,2017-04-03,"The series follows a young girl named Shina who hopes to become the world's best DJ, and is interested in new sounds. Shina explores a mysterious world filled with Otoppe, strange creatures capable of unique sounds.","{Fantasy,Music,Kids}",Unknown,Original,https://myanimelist.net/anime/35372/Otoppe,https://cdn.myanimelist.net/images/anime/4/85180.jpg
Oidon to,0.0,? eps,"5 min",280,2015-12-02,A young boy tries to become as strong of a sumo wrestler as his father. ,"{Sports,Kids}",Unknown,Original,https://myanimelist.net/anime/35698/Oidon_to,https://cdn.myanimelist.net/images/anime/13/86114.jpg
Keito no Yousei: Knit to Wool,0.0,? eps,"5 min",273,2015-08-24,A stop-motion anime using knitted characters. Knit and Wool are yarn fairies who create a fun knitted play time at night.,"{Fantasy,Kids}",Unknown,Original,https://myanimelist.net/anime/35695/Keito_no_Yousei__Knit_to_Wool,https://cdn.myanimelist.net/images/anime/2/86111.jpg
Unicorn no Kyupi,0.0,? eps,"5 min",269,2017-03-20,"Unicorn no Kyupi is a helpful sprite that lives in the kitchen and polishes dirty pots and pans clean with its fluffy white body. Harigorou, a rival sprite shaped like a hedgehog, tries to interfere. 

(Source: Crunchyroll)","{Fantasy,Kids}",Unknown,Original,https://myanimelist.net/anime/34990/Unicorn_no_Kyupi,https://cdn.myanimelist.net/images/anime/1165/91319.jpg
Pakkororin,0.0,? eps,"1 min",258,2011-03-28,"A minute long children's anime that follows 3 siblings. Two brothers who are rectangular and circular shaped, and a sister who is triangluar shaped. They have unique personalities and foster growth and discovery through their play time.",{Kids},Unknown,Original,https://myanimelist.net/anime/38099/Pakkororin,https://cdn.myanimelist.net/images/anime/1134/93318.jpg
Reizouko no Tsukenosuke!,0.0,? eps,"1 min",240,2018-10-01,A gag anime about foods in a refrigerator. The anime airs within the Oha Suta children's morning TV program and will receive a simultaneous manga serialization by Kazumata Oguri.,"{Comedy,Parody,Kids}",Unknown,Original,https://myanimelist.net/anime/38451/Reizouko_no_Tsukenosuke,https://cdn.myanimelist.net/images/anime/1884/95217.jpg
Pororo Donghwanala,0.0,? eps,"9 min",229,2020-08-24,(No synopsis yet.),"{Adventure,Fantasy,Kids}",Unknown,"",https://myanimelist.net/anime/48250/Pororo_Donghwanala,https://cdn.myanimelist.net/images/anime/1465/114524.jpg
Origami Ninja Koyankinte,0.0,? eps,"0 min",223,2020-04-07,"Koyan, the Origami Ninja, came to Earth from his planet Origamio to find the magical stone ""Hapiton"" that has the ability to make people happy. On the way, he was joined by childhood friend Namin anda new friend Lublin. One day, a villain called Evilrun appeared. Evilrun has a black hole in her stomach and tries to inhale anything. Every time an event happens, Evilrun gets in the way of Koyan and friends. But what Evilrun's aim is remains a mystery...","{Comedy,Kids}",Directions,"",https://myanimelist.net/anime/41458/Origami_Ninja_Koyankinte,https://cdn.myanimelist.net/images/anime/1860/106477.jpg
Ganbare! Choushuu-kun,0.0,? eps,"1 min",183,2022-08-01,"Choushuu-kun, a rambunctious grade schooler, experiences a slightly strange everyday life with his classmates.

(Source: ANN)",{Comedy},Oddjob,Original,https://myanimelist.net/anime/52815/Ganbare_Choushuu-kun,https://cdn.myanimelist.net/images/anime/1592/127118.jpg
Madtoy Chatty,0.0,? eps,"1 min",140,2022-04-20,(No synopsis yet.),{Comedy},Kachidoki Studio,Original,https://myanimelist.net/anime/52463/Madtoy_Chatty,https://cdn.myanimelist.net/images/anime/1292/125603.jpg
Akikan no Tuna,0.0,? eps,"5 min",114,2022-01-17,The adventures of a tuna can.,"{Comedy,Kids}",dwarf,Original,https://myanimelist.net/anime/52076/Akikan_no_Tuna,https://cdn.myanimelist.net/images/anime/1012/124452.jpg
Recola,0.0,? eps,"5 min",97,2020-09-28,A stop-motion series about Recola who creatively recycles materials to solve everyday problems.,"{""Slice of Life"",Kids}",Unknown,Original,https://myanimelist.net/anime/52066/Recola,https://cdn.myanimelist.net/images/anime/1564/124424.jpg
Romantic Killer,8.23,"12 eps","26 min",52255,2022-10-27,"When gamer Anzu gets transported to a world of hot guys, it’s like she’s in a dream…someone else’s dream!

High schooler Anzu Hoshino has a great life. Every day she plays video games, pigs out on snacks, and pets her beloved cat. But this blissful existence is turned into a confusing mess when a magical creature transports her to an altered reality bereft of her favorite things. Now she’s stuck with hot guys instead! How can she possibly survive in such an awful world?!

Anzu must play along in this altered reality before she can return to her normal life, so she begrudgingly makes friends with Tsukasa Kazuki. He unfortunately happens to be one of the hottest and most popular guys at school, and what’s worse, she realizes that he might not even be that bad of a person! 

(Source: VIZ Media)","{Comedy,Romance,""Reverse Harem"",Shounen}",domerica,Manga,https://myanimelist.net/anime/52865/Romantic_Killer,https://cdn.myanimelist.net/images/anime/1676/128173.jpg
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,0.0,"14 eps","24 min",21943,2022-12-01,Third part of JoJo no Kimyou na Bouken Part 6: Stone Ocean.,"{Action,Adventure,Shounen}",David Production,Manga,https://myanimelist.net/anime/53273/JoJo_no_Kimyou_na_Bouken_Part_6__Stone_Ocean_Part_3,https://cdn.myanimelist.net/images/anime/1233/128920.jpg
Road of Naruto,8.57,"1 ep","9 min",12585,2022-10-03,"In celebration of 20 years of Naruto, Studio Pierrot posted an anniversary PV on their YouTube channel. The PV is a compilation of newly reworked scenes from Naruto containing new animation.","{Action,Fantasy,""Martial Arts"",Shounen}",Pierrot,Manga,https://myanimelist.net/anime/53236/Road_of_Naruto,https://cdn.myanimelist.net/images/anime/1731/128787.jpg
"Yowai 5000-nen no Soushoku Dragon, Iwarenaki Jaryuu Nintei",6.84,"12 eps","14 min",12205,2022-07-30,"A 5000-year-old herbivorous dragon was living peacefully when one day a young girl showed up in his cave. She offered herself as a sacrifice in order to gain favor for her village. He played along as the great ""Evil Dragon, the Demon Lord's Army Leader"" in order to get rid of her. However, his little white lie awoke her hidden powers and his peaceful life suddenly ended. 

(Source: MU, edited)","{Adventure,Comedy,Fantasy}",Studio LAN,Novel,https://myanimelist.net/anime/50421/Yowai_5000-nen_no_Soushoku_Dragon_Iwarenaki_Jaryuu_Nintei,https://cdn.myanimelist.net/images/anime/1181/127617.jpg
Tiger & Bunny 2 Part 2,7.58,"12 eps","24 min",5324,2022-10-07,Second half of the second season of Tiger & Bunny.,"{Action,Comedy,Mystery,""Super Power""}",Bandai Namco Pictures,Original,https://myanimelist.net/anime/52291/Tiger___Bunny_2_Part_2,https://cdn.myanimelist.net/images/anime/1941/128060.jpg
Exception,6.33,"8 eps","29 min",5207,2022-10-13,"In the distant future, human beings have been forced to leave earth and migrate to another galaxy. An advanced team of spacecraft arrives at a planet that is to be terraformed. Each member of the team is output by a biological 3D printer. 

(Source: Netflix)","{Sci-Fi,Space}","5 Inc.",Original,https://myanimelist.net/anime/49163/Exception,https://cdn.myanimelist.net/images/anime/1889/128016.jpg
Harem Camp!,6.37,"8 eps","6 min",3699,2022-10-03,(No synopsis yet.),{Hentai},Studio Hokiboshi,Manga,https://myanimelist.net/anime/52717/Harem_Camp,https://cdn.myanimelist.net/images/anime/1669/126883.jpg
Kagejitsu!,6.53,? eps,"2 min",3535,2022-10-26,A spin-off chibi anime of Kage no Jitsuryokusha ni Naritakute!.,"{Comedy,Fantasy,Isekai}",Studio PuYUKAI,Light novel,https://myanimelist.net/anime/53406/Kagejitsu,https://cdn.myanimelist.net/images/anime/1014/129578.jpg
Lupin Zero,0.0,"6 eps","30 min",2706,2022-12-16,"How did this young boy become notorious gentleman thief ""Lupin III""?

Loosely based on Young Lupin III from the original manga, Lupin Zero will tell a nostalgic, yet brand new original story, finally lifting the veil cast upon Lupin III's humble beginnings. Set during the era in which the original series was first published, the anime depicts Young Lupin III running around the streets of 1960's Japan during the country's economic boom.

A young boy climbs the staircase to villainhood. What was he thinking and what steps did he take? This is the untold origin story of the world's greatest thief. 

(Source: TMS Entertainment)","{Action,Comedy,Seinen}",Telecom Animation Film,Manga,https://myanimelist.net/anime/53414/Lupin_Zero,https://cdn.myanimelist.net/images/anime/1534/129734.jpg
Umayuru,0.0,? eps,"3 min",2330,2022-10-16,(No synopsis yet.),{Comedy},Scooter Films,Game,https://myanimelist.net/anime/51772/Umayuru,https://cdn.myanimelist.net/images/anime/1137/123666.jpg
Liang Bu Yi 2nd Season,0.0,"24 eps","10 min",1473,2022-10-26,Second season of Liang Bu Yi.,"{Comedy,Romance,Historical}",Unknown,Manga,https://myanimelist.net/anime/50403/Liang_Bu_Yi_2nd_Season,https://cdn.myanimelist.net/images/anime/1385/119524.jpg
Yinhe Zhi Xin,0.0,? eps,"0 min",621,2022-10-25,"Li Yuesu, a cosmic wanderer, accidentally discovered the immigrant spacecraft ""Shangjia"" that disappeared many years ago, and witnessed a terrifying anomaly... People gradually realized the great danger that is approaching humanity. After several twists and turns, Kony finally All forces in the Seoul Star Territory had to work together to deal with powerful enemies. Unexpectedly, the strength of the alien race is beyond imagination. When the humans in the Conil star field were wiped out, they had to send Li Yuesu to the powerful human civilization in the heart of the galaxy for help...

(Source: BiliBili)","{Action,Sci-Fi}",Unknown,Novel,https://myanimelist.net/anime/44233/Yinhe_Zhi_Xin,https://cdn.myanimelist.net/images/anime/1085/128669.jpg
Da Li Si Rizhi 2nd Season,0.0,? eps,"0 min",527,2022-11-26,Second season of Da Li Si Rizhi.,"{Action,Comedy,Mystery,Historical}",Unknown,Web manga,https://myanimelist.net/anime/50240/Da_Li_Si_Rizhi_2nd_Season,https://cdn.myanimelist.net/images/anime/1375/126818.jpg
Eroriman 2,0.0,? eps,"24 min",849,2022-10-28,(No synopsis yet.),{Hentai},PoRO,Visual novel,https://myanimelist.net/anime/53070/Eroriman_2,https://cdn.myanimelist.net/images/anime/1379/128052.jpg
Lian Qi Lianle 3000 Nian,0.0,"16 eps","15 min",515,2022-10-07,"Bai Qiuran is one of Qingming's disciples, and has a lot of potential to be his successor. Even though he's still a Qi cultivator, he believes he will finally make his breakthrough this time. As such, Bai Qiuran decides to go down the mountain where exciting experiences await him.

(Source: INKR, edited)","{Action,Adventure,Comedy,Fantasy}",Unknown,Novel,https://myanimelist.net/anime/50538/Lian_Qi_Lianle_3000_Nian,https://cdn.myanimelist.net/images/anime/1201/119940.jpg
Xing Yu Siwan Nian,0.0,"16 eps","21 min",464,2022-10-04,"Li Yao, a genius craftsman, has been unable to break through the bottleneck due to the low development of his psychic powers, and then he obtained 40,000 years of cultivation by chance. Knowledge, thus opened up, but still missed the joint entrance examination. With the encouragement of friends and mentors, relying on his willpower to regain the opportunity to participate in the joint entrance examination, he finally entered the university of his choice and entered the story of realizing his dream of becoming a craftsman.

(Source: Tencent Video)","{Action,Fantasy,Sci-Fi}",Unknown,Other,https://myanimelist.net/anime/51390/Xing_Yu_Siwan_Nian,https://cdn.myanimelist.net/images/anime/1176/126778.jpg
Juedai Shuang Jiao,0.0,"18 eps","21 min",423,2022-10-03,"The follows a pair of twin brothers who, because of a feud between two formidable martial artists, were separated at birth and raised on opposing sides.

(Source: Wikipedia)","{Action,""Martial Arts""}",Unknown,Novel,https://myanimelist.net/anime/49750/Juedai_Shuang_Jiao,https://cdn.myanimelist.net/images/anime/1586/117506.jpg
Xue Yu Xin,0.0,? eps,"0 min",393,2022-11-02,(No synopsis yet.),"{Drama,Historical}",Unknown,Manga,https://myanimelist.net/anime/51549/Xue_Yu_Xin,https://cdn.myanimelist.net/images/anime/1111/122422.jpg
Changye Kaita Zhe,0.0,? eps,"21 min",299,2022-10-06,(No synopsis yet.),"{Action,Fantasy}",bilibili,Novel,https://myanimelist.net/anime/50446/Changye_Kaita_Zhe,https://cdn.myanimelist.net/images/anime/1382/119637.jpg
Bai Lian Cheng Shen,0.0,"52 eps","0 min",294,2022-11-04,(No synopsis yet.),"{Action,Adventure,Fantasy,Historical}",Pure Arts,Web novel,https://myanimelist.net/anime/52949/Bai_Lian_Cheng_Shen,https://cdn.myanimelist.net/images/anime/1524/127614.jpg
Fengzi Wuyu: Xian Luo Pian,0.0,"20 eps","16 min",151,2022-10-03,The second season of Fengzi Wuyu.,"{Action,Adventure,Fantasy}",Unknown,Web novel,https://myanimelist.net/anime/53251/Fengzi_Wuyu__Xian_Luo_Pian,https://cdn.myanimelist.net/images/anime/1224/128792.jpg
Jiu Tian Xuan Di Jue 3,0.0,? eps,"0 min",122,2022-10-31,The third season of Jiu Tian Xuan Di Jue.,"{Action,Adventure,Fantasy,""Martial Arts""}",Unknown,Original,https://myanimelist.net/anime/53476/Jiu_Tian_Xuan_Di_Jue_3,https://cdn.myanimelist.net/images/anime/1770/130040.jpg
Halloween Pajama,0.0,"1 ep","7 min",119,2022-10-31,Short anime by Yasuhiro Irie based on his self-published manga Halloween Pajama.,"{Supernatural,Music}",Unknown,Manga,https://myanimelist.net/anime/53530/Halloween_Pajama,https://cdn.myanimelist.net/images/anime/1601/130587.jpg
Roly Poly Peoples,0.0,? eps,"3 min",103,2022-10-21,Short animation about pill bugs.,"{Comedy,Anthropomorphic}",Lesprit,Original,https://myanimelist.net/anime/52421/Roly_Poly_Peoples,https://cdn.myanimelist.net/images/anime/1292/125505.jpg
Wo Zai Xianjie Zheng Jifen,0.0,"40 eps","0 min",98,2022-11-05,(No synopsis yet.),"{Action,Fantasy,""Martial Arts""}",Unknown,Web novel,https://myanimelist.net/anime/53473/Wo_Zai_Xianjie_Zheng_Jifen,https://cdn.myanimelist.net/images/anime/1659/130033.jpg
Jing Cui Xian Zun Part 2,0.0,? eps,"10 min",89,2022-11-02,Second half of Jing Cui Xian Zun.,"{Action,Adventure,Fantasy,""Martial Arts""}",Unknown,Original,https://myanimelist.net/anime/53498/Jing_Cui_Xian_Zun_Part_2,https://cdn.myanimelist.net/images/anime/1695/130341.jpg
Kiyoneko,0.0,? eps,"0 min",61,2022-12-04,(No synopsis yet.),{Comedy},Unknown,Other,https://myanimelist.net/anime/50529/Kiyoneko,https://cdn.myanimelist.net/images/anime/1976/129558.jpg
San Ti,0.0,? eps,"0 min",54,2022-12-03,(No synopsis yet.),{Sci-Fi},Unknown,Novel,https://myanimelist.net/anime/50445/San_Ti,https://cdn.myanimelist.net/images/anime/1192/130114.jpg
Penpe to Pinpi,0.0,? eps,"1 min",28,2022-10-09,(No synopsis yet.),"{""Slice of Life""}",Unknown,Original,https://myanimelist.net/anime/53220/Penpe_to_Pinpi,https://cdn.myanimelist.net/images/anime/1141/130418.jpg
Ruguo Lishi Shi Yiqun Miao 9th Season,0.0,? eps,"0 min",17,2022-10-30,(No synopsis yet.),"{Comedy,Educational,Kids}",Unknown,Web manga,https://myanimelist.net/anime/53589/Ruguo_Lishi_Shi_Yiqun_Miao_9th_Season,https://cdn.myanimelist.net/images/anime/1487/130947.jpg
Boku ni Sexfriend ga Dekita Riyuu,6.99,? eps,"16 min",2154,2022-10-07,(No synopsis yet.),{Hentai},T-Rex,Manga,https://myanimelist.net/anime/52402/Boku_ni_Sexfriend_ga_Dekita_Riyuu,https://cdn.myanimelist.net/images/anime/1649/125400.jpg
Succubus Yondara Gibo ga Kita!?,7.24,"2 eps","16 min",2009,2022-11-04,(No synopsis yet.),{Hentai},T-Rex,Manga,https://myanimelist.net/anime/52617/Succubus_Yondara_Gibo_ga_Kita,https://cdn.myanimelist.net/images/anime/1470/126595.jpg
Onna no Sono no Hoshi,0.0,"1 ep","20 min",1856,2022-12-08,"Hoshi-sensei, a Japanese language teacher at an all-girls school, is at the mercy of his students and colleagues. Students challenge him to their shiritori word games illustrated in their daily notes, convince him to bring a dog into the classroom, and seek his advice on becoming a manga artist, while colleagues drag him along on their rounds to the pub. Matter-of-fact interactions between a cast of unique characters make for an offbeat comedy. 

(Source: Japan Media Arts Festival, edited)","{Comedy,""Slice of Life"",School,Josei}",Lapin Track,Manga,https://myanimelist.net/anime/52601/Onna_no_Sono_no_Hoshi,https://cdn.myanimelist.net/images/anime/1295/128027.jpg
Raikou Shinki Aigis Magia: Pandra Saga 3rd Ignition - The Animation,5.8,"2 eps","20 min",1195,2022-10-28,(No synopsis yet.),{Hentai},Unknown,Manga,https://myanimelist.net/anime/52561/Raikou_Shinki_Aigis_Magia__Pandra_Saga_3rd_Ignition_-_The_Animation,https://cdn.myanimelist.net/images/anime/1714/126269.jpg
Tsuma Netori 3: Kairaku ni Ochita Injiru Kyoushi-tachi,5.75,"1 ep","30 min",852,2022-10-28,(No synopsis yet.),{Hentai},Teatro Nishi Tokyo Studio,Visual novel,https://myanimelist.net/anime/53229/Tsuma_Netori_3__Kairaku_ni_Ochita_Injiru_Kyoushi-tachi,https://cdn.myanimelist.net/images/anime/1308/128737.jpg
Isekai Kita node Sukebe Skill de Zenryoku Ouka Shiyou to Omou The Animation,0.0,? eps,"20 min",459,2022-12-23,(No synopsis yet.),{Hentai},Shion,Manga,https://myanimelist.net/anime/53204/Isekai_Kita_node_Sukebe_Skill_de_Zenryoku_Ouka_Shiyou_to_Omou_The_Animation,https://cdn.myanimelist.net/images/anime/1270/128666.jpg
Roshutsu-kei Mahou Joshi Daisei Christhea,0.0,? eps,"30 min",369,2022-12-23,(No synopsis yet.),{Hentai},Majin,Game,https://myanimelist.net/anime/53257/Roshutsu-kei_Mahou_Joshi_Daisei_Christhea,https://cdn.myanimelist.net/images/anime/1332/128843.jpg
