"title","score","episode_count","episode_length","member_count","start_date","synopsis","genre","studio","source","url","image"
Human Bug Daigaku,5.81,? eps,"23 min",5043,2022-10-05,"Satake Hirofumi is a prisoner on death row for murdering his fiancée. He's also an ""Undeadman"" who has survived many desperate situations. For this, he has earned the interest of a research institution called ""Human Crazy University,"" which studies real-life miraculous phenomena and the people who become entangled in them.

Now a subject of their research, Satake relates to them his memories of his immortal, yet unhappy, life. Why did he kill his fiancée? Soon enough, the truth sheds light on a much bigger conspiracy...

(Source: Crunchyroll)",{Comedy},DLE,Web manga,https://myanimelist.net/anime/53012/Human_Bug_Daigaku,https://cdn.myanimelist.net/images/anime/1265/128725.jpg
Vazzrock The Animation,4.88,"13 eps","23 min",4559,2022-10-05,"VAZZY and ROCK DOWN are the two units that make up Tsukino Talent Production's all-male VAZZROCK group. Led by Takaaki Mamiya and Shou Onoda respectively, both units announce via a round-table livestream that they are working hard to prepare for the upcoming VAZZROCK Live Flawless event. From taking extra dancing and singing lessons to starring in a TV period drama, these 12 idols must give it their all as they work toward a spectacular show that will impress their fans.

[Written by MAL Rewrite]
","{""Idols (Male)""}",PRA,Music,https://myanimelist.net/anime/43771/Vazzrock_The_Animation,https://cdn.myanimelist.net/images/anime/1488/127334.jpg
Pui Pui Molcar: Driving School,6.9,"12 eps","2 min",3452,2022-10-08,New series for Pui Pui Molcar.,"{Comedy,Anthropomorphic,Kids}",Shin-Ei Animation,Original,https://myanimelist.net/anime/51986/Pui_Pui_Molcar__Driving_School,https://cdn.myanimelist.net/images/anime/1382/125361.jpg
Reiwa no Di Gi Charat,6.02,? eps,"4 min",3221,2022-10-07,"New mini anime series for Di Gi Charat, part of the celebration for the franchise's 24th anniversary next year.",{Comedy},LIDENFILMS,Manga,https://myanimelist.net/anime/49179/Reiwa_no_Di_Gi_Charat,https://cdn.myanimelist.net/images/anime/1343/124987.jpg
Megaton-kyuu Musashi 2nd Season,6.28,? eps,"25 min",2555,2022-10-07,Second season of Megaton-kyuu Musashi.,"{Action,Sci-Fi,Mecha}",OLM,Mixed media,https://myanimelist.net/anime/50559/Megaton-kyuu_Musashi_2nd_Season,https://cdn.myanimelist.net/images/anime/1207/127832.jpg
Mamekichi Mameko NEET no Nichijou,0.0,"48 eps","1 min",548,2022-10-03,"Mameko is a  NEET (Not in Education, Employment, or Training). She lives with her dog Komachi and her cats Tabi, Simba, and Melo.
Mameko promises God that she will do her best from tomorrow, but the next day she says, ""God is telling me to sleep..."" and loses to herself.

This is the story of Mameko's everyday life, which seems to be nothing and is somewhat strange.

(Source: Official Site)",{Comedy},Tezuka Productions,Web manga,https://myanimelist.net/anime/53011/Mamekichi_Mameko_NEET_no_Nichijou,https://cdn.myanimelist.net/images/anime/1920/127864.jpg
Mesudachi The Animation,0.0,"2 eps","20 min",797,2022-11-25,(No synopsis yet.),{Hentai},Unknown,Manga,https://myanimelist.net/anime/52904/Mesudachi_The_Animation,https://cdn.myanimelist.net/images/anime/1687/127406.jpg
Sylvanian Families: Freya no Happy Diary,0.0,? eps,"11 min",216,2022-10-06,A new animated TV series based on the Sylvanian Families toy line.,"{""Slice of Life"",Kids}",LandQ studios,Other,https://myanimelist.net/anime/52964/Sylvanian_Families__Freya_no_Happy_Diary,https://cdn.myanimelist.net/images/anime/1147/127704.jpg
Obake Zukan!,0.0,? eps,"2 min",203,2022-10-05,Second Season of Obake Zukan.,"{Comedy,Fantasy,Supernatural,Mythology,Kids}",Unknown,Picture book,https://myanimelist.net/anime/52319/Obake_Zukan,https://cdn.myanimelist.net/images/anime/1064/126825.jpg
Chickip Dancers 2nd Season,0.0,? eps,"5 min",139,2022-09-27,The second season of Chickip Dancers.,"{""Slice of Life""}",Fanworks,Other,https://myanimelist.net/anime/53320/Chickip_Dancers_2nd_Season,https://cdn.myanimelist.net/images/anime/1869/129078.jpg
